# BAND-MAID Prime snapshot date: 2026-05-01
Title	Category	URL
"BAND-MAID WORLD DOMINATION TOUR 2018【宣告】" Part 1	OKYUJI	https://bandmaidprime.tokyo/movies/59476
AKANE "Warning!" (Head Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/59384
MIKU KOBATO "Different" (Pull Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/59245
MISA "Play" (Head Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/59160
KANAMI "Blooming" (Pull Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/59089
AKANE "Different" (Pull Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/58978
Super DARADARA Time (Super Lazy Time) from "BAND-MAID ONLINE OKYU-JI (Feb. 11, 2021)"	MISC	https://bandmaidprime.tokyo/movies/58887
"BAND-MAID お給仕TOUR Autum-Winter 2017「燃えるの?萌えないの?どっちなの! ?」』Tour Final" Part 2	OKYUJI	https://bandmaidprime.tokyo/movies/58839
MIKU KOBATO "Choose me" (Head Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/58739
MISA "Bubble" (Pull Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/58556
"BAND-MAID お給仕TOUR Autum-Winter 2017「燃えるの?萌えないの?どっちなの! ?」』Tour Final" Part 1	OKYUJI	https://bandmaidprime.tokyo/movies/58426
KANAMI "DOMINATION" (Head Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/58334
AKANE "Choose me" (Pull Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/58219
BAND-MAID 1st Full Album『Just Bring It』Pre-Release One-man 〜新年 初お給仕はじめます〜	OKYUJI	https://bandmaidprime.tokyo/movies/58102
MIKU KOBATO "Different" (Head Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/58006
BAND-MAID "THE DAY OF MAID (May 10, 2021)" Making Movie	BTS	https://bandmaidprime.tokyo/movies/57915
KANAMI "Warning!" (Pull Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/57912
MISA "Wonderland" (Head Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/57833
AKANE "Bubble" (Head Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/57726
MIKU KOBATO "DICE" (Pull Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/57352
MISA "Different" (Pull Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/57212
AKANE "Warning!" (Head Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/57128
MIKU KOBATO "Wonderland" (Head Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/57027
KANAMI "DICE" (Head Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/56933
AKANE "Choose me" (Head Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/56820
KANAMI "Different" (Pull Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/56643
MISA "Bubble" (Head Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/56519
MIKU KOBATO "Warning!" (Head Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/56434
MISA "Play" (Pull Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/56353
KANAMI "Wonderland" (Head Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/56257
AKANE "Bubble" (Pull Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/56170
MIKU KOBATO "DOMINATION" (Pull Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/56083
[OKYUJI] Play (Lodge Room, Los Angeles)	OKYUJI Song	https://bandmaidprime.tokyo/movies/55972
[OKYUJI] Moratorium  (Lodge Room, Los Angeles)	OKYUJI Song	https://bandmaidprime.tokyo/movies/55971
BAND-MAID ONLINE OKYU-JI (Aug. 16, 2020)	OKYUJI	https://bandmaidprime.tokyo/movies/55891
MISA "Warning!" (Pull Angle ver.)	Self-cover - MISA	https://bandmaidprime.tokyo/movies/55818
BAND-MAID ONLINE OKYU-JI (July. 23, 2020)	OKYUJI	https://bandmaidprime.tokyo/movies/55814
KANAMI "Choose me" (Pull Angle ver.)	Self-cover - KANAMI	https://bandmaidprime.tokyo/movies/55817
AKANE "Different" (Head Angle ver.)	Self-cover - AKANE	https://bandmaidprime.tokyo/movies/55816
MIKU KOBATO "DICE" (Head Angle ver.)	Self-cover - MIKU KOBATO	https://bandmaidprime.tokyo/movies/55815
Silent BAND-MAID	Comedy	https://bandmaidprime.tokyo/movies/55813
